iter	Passed	Remaining
0	174	174409
1	237	11852822	275	9143233	312	778134	401	79807
5	433	71767
6	571	81065
7	609	75525
8	657	72405
9	717	71035
10	807	72606
11	825	67941
12	853	64837
13	882	62151
14	1089	71560
15	1131	69602
16	1150	66526
17	1173	64039
18	1240	64046
19	1277	62595
20	1292	60238
21	1296	57616
22	1300	55236
23	1451	59024
24	1460	56944
25	1485	55655
26	1507	54308
27	1530	53116
28	1552	51967
29	1587	51334
30	1598	49975
31	1624	49155
32	1682	49315
33	1721	48899
34	1747	48185
35	1788	47891
36	1833	47728
37	1849	46818
38	1918	47279
39	1987	47709
40	1996	46690
41	2000	45626
42	200443	205143	2242	48723
44	2268	48135
45	2280	47298
46	2300	46639
47	2333	46289
48	2372	46037
49	2425	46087
50	2435	45319
51	2466	44960
52	2470	44151
53	2688	47104
54	2701	46424
55	2717	45807
56	2737	45282
57	2761	44843
58	2775	44268
59	2787	43671
60	2805	43184
61	2815	42592
62	2830	42100
63	2961	43315
64	2974	42791
65	2985	42254
66	3016	42004
67	3031	41552
68	3079	41555
69	3096	41138
70	3138	41064
71	3275	42212
72	3312	42065
73	3328	41650
74	3356	41401
75	3368	40954
76	3382	40543
77	3411	40323
78	3431	39999
79	3481	40037
80	3514	39876
81	3535	39575
82	3552	39248
83	3582	39069
84	3637	39161
85	3644	38734
86	3762	39487
87	3773	39108
88	3778	38675
89	3794	38361
90	3833	38295
91	3845	37950
92	3891	37956
93	3907	37661
94	3923	37375
95	3932	37027
96	3947	36752
97	3957	36423
98	3965	36089
99	3969	35723
100	3974	35381
101	4201	36993
102	4236	36894
103	4260	36701
104	4288	36553
105	4297	36247
106	4316	36023
107	4342	35868
108	4366	35691
109	4379	35433
110	4406	35295
111	4448112	442112	4479113	444113	4528	35194
114	4571	35181
115	4591	34993
116	4608	34778
117	4638	34670
118	4662	34515
119	4680	34326
120	4729	34359
121	4762	34274
122	4777	34063
123	4800	33915
124	4825	33777
125	4860	33714
126	4923	33842
127	4940	33655
128	4947	33402
129	4954	33154
130	4964	32930
131	4971	32693
132	5020	32726
133	5099	32957
134	5109	32735
135	5125	32561
136	5145	32413
137	5160	32233
138	5202	32227
139	5244	32214
140	5294	32255
141	5345	32299
142	5376	32220
143	5517	32800
144	5565	32816
145	5586	32676
146	5599	32494
147	5618	32346
148	5641	32219
149	5664	32098
150	5679	31934
151	5714	31882
152	5735	31753
153	5765	31674
154	5775	31483
155	5803	31400
156	5830	31306
157	5850	31176
158	5929	31360
159	5950	31239
160	5973	31127
161	5981	30943
162	5991	30767
163	5998	30577
164	6018	30165	165	6038	30166	6069	30276
167	6117	30298
168	6150	30244
169	6217	30355
170	6233	30219
171	171	6314	30396
172	633174	6436	30345
175	174	6392	30134
175	175	6466	30273
176	6557	30488
177	6594	30451
178	6605	30295
179	661181	6837	30733
182	6853	30595
183	6865	30448
184	6882	30321
185	6900	30197
186	6909	30041
187	6925	29911
188	6959	29863
189	6971188	688190	7324	31023
191	7336	30874
192	7350	30734
193	7360	30579
194	7371	30431
195	7394	30330
196	7413	30216
197	7432	30104
198	7478	30103
199	198	7430	29909
199	7512	30048
200	7542	29981
201	7558	29860
202	7618	29912
203	7713	30098
204	7830	30368
205	7857	30285
206	7929	30377
207	7974	30365
208	8019	30349
209	8045	30265
210	8077	30204
211	8097	30098
212	8107	29956
213	8114	29803
214	8122	29655
215	8134	29525
216	8139	29371
217	8224	29504
218	8245	29405
219	8261	29291
220	8308	29286
221	8333	29205
222	8343	29071
223	8372	29006
224	8395	28917
225	8407	28792
226	8429	28705
227	8465	28663
228	8479	28549
229	8489	28421
230	8541	28434
231	8556	28324
232	8566	28200
233	8588	28113
234	8608	28023
235	8625	27923
236	8664	27894
237	8686	27812
238	8743	27840
239	8752	27717
240	8778	27645
241	8819	27623
242	8840	27244	8992	27710
245	9030	27679
246	9050	27592
247	9069	27500
248	9089	27415
249	9101	27303
250	249	9109	27327
250	9306	27769
251	9309	27633
252	9315	27503
253	9319	27372
254	9323	27239
255	9328	27110
256	9332	26979
257	9529	27405
258	9548	27319
259	9558	27205
260	9589	27153
261	9608	27065
262	9617	26950
263	9621	26824
264	9626	26699
265	9630	26574
266	9798	26901
267	9930	27123
268	9993	27157
269	10023	27100
270	10036	26997
271	10043	26882
272	10065	26805
273	10073	26691
274	10095	26614
275	10098	26491
276	10102	26368
277	10335	26842
278	10371	26801
279	10414	26780
280	10427	26681
281	10437	26573
282	10458	26496
283	10469	26394
284	10590	26569
285	10633	26547
286	10654	26470
287	10688	26425
288	10706	26340
289	10718	26240
290	10729	26141
291	10752	26070
292	10808	26080
293	10862	26085
294	10875	25991
295	10899	25922
296	10920	25849
297	10935	25761
298	10969	25718
299	10983	25627
300	11015	25581
301	11041	25518
302	11089	25508
303	11098	25409
304	11124	25349
305	11141	25269
306	11171	25218
307	11221	25211
308	11323	25321
309	11333	25225
310	11361	25171
311	11408	25157
312	11426	25080
313	11433	24979
314	11456	24913
315	11492	24875
316	11508	24796
317	11515	24696
318	11526	24607
319	11542	24527
320	11580	24496
321	11618	24463
322	11662	24443
323	11673	24356
324	11681	24260
325	11693	24175
326	11701	24082
327	11711	23994
328	11718	23900
329	11722	23800
330	11813	23875
331	11824	23790
332	11832	23700
333	11846	23622
334	11856	23535
335	11885	23487
336	11901	23413
337	11909	23326
338	11930	23261
339	11940	23177
340	11957	23109
341	12128	23334
342	12140	23254
343	12154	23177
344	12158	23083
345	12185	23031
346	12192	22944
347	12199	22857
348	12213	22781
349	12226	22705
350	12253	22655
351	12286	22619
352	12302	22549
353	12334	22509
354	12349	22437
355	12361	22362
356	12368	22276
357	12381	22202
358	12395	22131
359	12405	22053
360	12420	21985
361	12427	21902
362	12448	21845
363	12459	21770
364	12660	22026
365	12685	21974
366	12695	21897
367	12706	21822
368	12721	21754
369	12751	21711
370	12770	21650
371	12789	21590
372	12803	21522
373	12813	21447
374	12833	21389
375	13015	21600
376	13023	21522
377	13054	21481
378	13079	21430
379	13098	21371
380	13110	21300
381	13114	21217
382	13118	21134
383	13122	21050
384	131385	13283	21130
386	13296	21061
387	13370387	13301	20980
388	13348	20965
389	13381	20929
390	13399	20870
391	13409	20798
392	13422	20732
393	13440	20673
394	13456	20609
395	13515	20614
396	13551	20582
397	13600	20572
398	13655	20568
399	13674	20511
400	13693	20454
401	13713	20399
402	13722	20328
403	13747	20281
404	137408	13575	19616
409	13583	19546
410	13593	19481
411	13611	19426
412	13622409	13980	20117
410	13992	20052
411	14023	20014
412	14038	19952
413	14071	19917
414	14122	19907
415	141416	14310416	141417	14341417	14227	19809
418	14235	19739
419	14241	19666
420	14246	19592
421	14354	19660
422	14413	19660
423	14431	19604
424	14463	19568
425	14486	19519
426	14523	19489
427	14565	19466
428	145432	14384	18836
433	14469	18870
434	14503	18837
435	14513	18773
436	14555	18751
437	14573	18699
438	14609	18670
439	14659	18657
440	14685	18615
441	14729	18594
442	14737	18529
443	14752	18473
444	14763	18412
445	14777	18355
446	14799	18309
447	14831	18274
448	14858	18233
449	14907	18220
450	14939	18186
451	14967	18146
452	14981	18090
453	14995	18033
454	15016	17987
455	15034	17936
456	15113	17957
457	15128454	15368	18407
455	15452	18435
456	15575	18506
457	15643	18512
458	15664	18463
459	15751	18491
460	15815	18491
461	15846	18453
462	15857	18391
463	15891	18357
464	15907	18302
465	15916	18239
466	15935	18187
467	15954	18136
468	15970	18082
469	15981	18021
470	15996	17966
471	16016	17916
472	16032	17862
473	16065	17827
474	16182	17885
475	16201	17835
476	16221	17785
477	16235	17729480	16587	17897
481	16629	17871
482	16671	17845
483	16696	17800
484	16699	17732
485	16865	17837
486	16905	17807
487	16955	17789
488	16974	17738
489	16991	17684
490	17011	17635
491	17037	17591
492	17056	17540
493	17136	17552
494	17212	17560
495	17252	17531
496	17312	17521
497	17349	17489
498	17353	17423
499	17357	17357
500	17360	17291
501	17364	17225
502	17492	17283
503	17506	17228
504	17518	17171
505	17533	17117
506	17549	17065
507	17566	17012
508	17606	16983
509	17622	16931
510	17666	16905
511	17692	16863
512	17914	17007
513	17929	16952
514	17954	16908
515	17968	16854
516	17986	16803
517	18005	16754
518	18021	16701
519	18039	16652
520	1806522	1753521	18179	16647
522	18205	16604
523	18233	16563
524	18265	16525
525	18291	16483
526	18312	16436
527	1832529	17784	15770
530	17810	15730
531	1782530	18480	16322
531	18491	16267
532	18502	16211
533	18514	16156
534	18523	16100
535	18541	16051
536	1855538	17991	15388
539	1800538	18652	15953
539	18665	15900
540	18687	15854
541	18707	15808
542	18731	15764
543	1874545	1815544	1876546	18177	15053
547	18209	15019
548	1824547	1888549	18425	15075
550	18435	15022
551	18451	14974
552	18468	14928
553	18482	14879
554	18504	14837
555	18534	14801
556	18582	14779
557	18603	14736
558	18634	14700
559	18662	14663
560	1868559	19304	15167
560	1931562	1870561	19327	15062
562	18784	14580
563	18833	14559
564	18888	14542
565	18916	14504
566	18944	14466
567	1896570	1936568	1897571	1938569	1901572	19486	14521
573	19563	14518
